account,code,name,open_date,close_date,hold_days,buy_price,sell_price,pnl_net,pnl_pct,t0_close_pct,max_float_gain,max_float_loss,n_buys_in_rt,gave_back_pct,scenario
账户1,300723,一品红,2026-06-08,2026-06-10,2.0,34.859,34.07,-168.8,-2.26,-0.4274362431509804,8.953211509222857,-3.6403798158294753,1,11.213211509222857,G. 其他亏损
账户1,300723,一品红,2026-06-08,2026-06-11,3.0,34.859,33.4,-1350.49,-4.19,-0.4274362431509804,8.953211509222857,-4.759172667030032,1,13.143211509222859,G. 其他亏损
账户1,300768,迪普科技,2026-07-06,2026-07-07,1.0,15.07,15.44,1510.03,2.46,3.715992037159932,9.157266091572659,-4.777704047777043,1,6.697266091572659,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,300768,迪普科技,2026-07-06,2026-07-07,1.0,15.07,15.401,1311.25,2.2,3.715992037159932,9.157266091572659,-4.777704047777043,1,6.9572660915726585,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,300851,交大思诺,2026-05-26,2026-05-28,2.0,34.95,30.39,-925.17,-13.05,-1.0014306151645225,11.187410586552215,-15.250357653791136,1,24.237410586552215,E. 买了就跌 → 割肉
账户1,301069,凯盛新材,2026-06-09,2026-06-10,1.0,20.361,21.21,4610.33,4.17,5.544914296940218,7.951475860714119,-6.094985511517114,1,3.781475860714119,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,301202,朗威股份,2026-06-01,2026-06-02,1.0,40.32,38.7,-834.07,-4.02,-2.2073412698412676,0.44642857142858094,-6.200396825396826,1,4.4664285714285805,E. 买了就跌 → 割肉
账户1,301277,新天地,2026-01-26,2026-01-30,4.0,13.04,12.68,-601.13,-2.76,0.38343558282210033,1.0736196319018454,-4.601226993865026,2,3.833619631901845,G. 其他亏损
账户1,301277,新天地,2026-01-26,2026-02-03,8.0,13.04,12.69,-256.0,-2.68,0.38343558282210033,1.0736196319018454,-4.601226993865026,2,3.7536196319018456,G. 其他亏损
账户1,301277,新天地,2026-01-28,2026-02-03,6.0,12.68,12.69,-16.74,0.08,-1.0252365930599305,1.1829652996845352,-1.8927444794952675,1,1.1029652996845352,F. 其他盈利
账户1,301277,新天地,2026-01-28,2026-02-27,30.0,12.68,12.78,320.48,0.79,-1.0252365930599305,1.6561514195583715,-1.8927444794952675,1,0.8661514195583715,F. 其他盈利
账户1,301293,三博脑科,2026-01-07,2026-01-08,1.0,90.49,98.26,3060.86,8.59,3.6799646369764627,13.824732014587248,-4.188308100342574,1,5.234732014587248,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,301302,华如科技,2026-03-05,2026-03-06,1.0,34.32,33.88,-529.95,-1.28,-2.1270396270396175,8.68298368298368,-9.819347319347326,1,9.96298368298368,E. 买了就跌 → 割肉
账户1,301308,江波龙,2026-03-17,2026-03-23,6.0,337.2,318.4,-1919.8,-5.58,-1.5717674970344042,9.309015421115063,-9.549228944246735,1,14.889015421115063,E. 买了就跌 → 割肉
账户1,600010,包钢股份,2026-04-03,2026-04-07,4.0,2.69,2.78,1100.06,3.35,-1.1152416356877248,4.089219330855021,-3.3457249070631967,1,0.7392193308550206,F. 其他盈利
账户1,600026,中远海能,2026-03-18,2026-03-23,5.0,24.42,24.12,-197.85,-1.23,1.8837018837018826,4.58640458640458,-7.166257166257162,2,5.81640458640458,B. 买了就涨 → 没跑 → 变小亏
账户1,600026,中远海能,2026-03-19,2026-03-23,4.0,23.972,24.12,82.9,0.62,-1.0095110962789922,5.456365760053394,-4.5553145336225676,1,4.836365760053394,F. 其他盈利
账户1,600026,中远海能,2026-03-19,2026-03-24,5.0,23.972,24.4,517.64,1.79,-1.0095110962789922,7.917570498915394,-4.5553145336225676,1,6.127570498915394,F. 其他盈利
账户1,600026,中远海能,2026-03-26,2026-03-31,5.0,24.47,21.93,-265.14,-10.38,-2.3293829178586023,3.514507560277891,-11.483449121373102,1,13.89450756027789,D. 买了就跌 → 死扛到大亏
账户1,600056,中国医药,2026-04-03,2026-04-14,11.0,11.59,10.6,-7625.69,-8.54,0.0,0.0,-11.044003451251072,1,8.54,G. 其他亏损
